name,handedness,height,weight,avg,HR
Armando Galarraga,R,76,180,0,0
Pinky Whitney,R,70,165,0.295,93
Bob Barthelson,R,72,185,0,0
Johnny Oates,L,71,188,0.25,14
Jordan Zimmermann,R,74,220,0.168,1
Junior Spivey,R,72,185,0.27,48
Bill Collver,, , ,0,0
Joe McGuckin,,68,160,0.108,0
Mel Ingram,R,71,175,0,0
Ted Wilborn,B,72,165,0.1,0
Dave Gray,R,73,190,1,0
George Kopshaw,R,71,176,0.2,0
Matt Diaz,R,73,215,0.29,45
Daniel Stange,R,75,185,0,0
Mario Diaz,R,70,145,0.256,5
Carlos Maldonado,R,74,250,0.159,3
Luis Jimenez,L,75,280,0.059,0
Charlie Blackmon,L,75,200,0.291,9
Harry Chapman,R,71,160,0.198,1
Wally Flager,L,71,160,0.241,2
Jackie Robinson,R,71,195,0.311,137
Jaye Chapman,R,72,195,0,0
Marvin Benard,L,70,180,0.271,54
Joe Corbett,R,70,175,0.235,0
Ray Shook,R,67,155,0,0
Danny Cox,R,76,235,0.109,0
Darron Cox,R,73,205,0.24,1
Jason Middlebrook,R,75,215,0.167,0
Benny Frey,R,70,165,0.255,0
Aaron Hill,R,71,205,0.273,135
Ed Stein,R,71,170,0.226,2
Frank McKee,, , ,0.176,0
Joe Gormley,L, , ,0,0
Harry Davis,L,70,160,0.264,7
Rollin Cook,R,69,152,0.25,0
Fred Vaughn,R,70,185,0.241,2
Ron Cook,L,73,175,0.24,0
Pat Underwood,L,72,175,0,0
Mike Phillips,L,72,170,0.24,11
C.J. Wilson,L,73,210,0.095,0
Chris Smith,R,72,190,0,0
Ed Olivares,R,71,180,0.143,0
Paul Strand,L,72,190,0.224,0
Ed Morris,R,74,185,0.195,1
John Kerins,R,70,177,0.252,20
Chuck Smith,R,73,185,0.136,0
Gene Moore,L,71,175,0.27,58
Charlie Miller,, , ,0,0
Heinie Peitz,R,71,165,0.271,16
Phil Knell,R,67,154,0.187,1
Fred Kipp,L,76,200,0.243,0
Rogelio Alvarez,R,71,183,0.189,0
Gene Green,R,74,200,0.267,46
Lew Richie,R,68,165,0.147,0
DJ LeMahieu,R,76,205,0.283,4
Justin Huisman,R,73,195,0,0
Ed Dugan,, , ,0.114,0
Cameron Drew,L,77,230,0.188,0
Hippo Vaughn,B,76,215,0.173,3
Ron Santo,R,72,190,0.277,342
Tom Wiedenbauer,R,73,180,0.667,0
Randy Moffitt,R,75,190,0.14,0
Fred Mollenkamp,,74,195,0.125,0
Willy Aybar,B,71,205,0.258,33
Tony Fiore,R,76,210,0,0
John Jenkins,R,68,160,0,0
Jim Lawrence,L,73,185,0,0
Orber Moreno,R,75,225,0,0
Lou Thornton,L,74,185,0.247,1
Buster Ross,L,73,195,0.16,0
Buck Ross,R,74,170,0.154,3
Jay Johnstone,L,73,175,0.267,102
Floyd Stromme,R,71,170,0.333,0
Sled Allen,R,73,180,0.13,0
Jim Williams,R,74,190,0.282,0
Jimy Williams,R,70,170,0.231,0
Jim Willis,L,75,175,0,0
Jimmy Williams,R,69,175,0.275,49
Urbano Lugo,R,72,185,0,0
George Textor,B,70,174,0.19,0
Joe Borchard,B,76,230,0.205,26
Scott Radinsky,L,75,190,0,0
Pat Osburn,L,76,195,0,0
Tommy Shields,L,72,180,0.176,0
Dick Buckley,,70,195,0.245,26
Grant Jackson,B,72,180,0.136,2
Steve Roser,R,76,220,0.093,0
Bill Drescher,L,74,190,0.266,0
Merkin Valdez,R,77,230,0,0
Russ Bauers,L,75,195,0.242,0
Lou McEvoy,R,74,203,0.1,0
Angel Berroa,R,72,195,0.258,46
Art LaVigne,R,70,162,0.156,0
Johnny Berardino,R,71,175,0.249,36
Bill Kelly,R,72,190,0.179,0
Billy Kelly,R,72,183,0.29,1
Emil Brown,R,74,210,0.258,59
Jim Galloway,B,75,187,0.185,0
Jay Marshall,L,77,185,0,0
Jose Fernandez,R,74,240,0.22,1
Jake Goodman,,73, ,0.256,1
Fausto Cruz,R,70,165,0.191,0
Polly McLarry,L,72,185,0.194,1
Pat Maloney,R,72,150,0.215,0
Marty Shay,R,67,148,0.24,0
Phil Hiatt,R,75,200,0.216,13
Pat Malone,L,72,200,0.188,9
Jim Ray Hart,R,71,185,0.278,170
Ralph Birkofer,L,71,213,0.242,0
Andrew Albers,R,73,195,0,0
Goat Anderson,L, , ,0.206,1
Doc Cramer,L,74,185,0.296,37
Chris Clemons,R,76,220,0,0
Don Buschhorn,R,72,170,0.5,0
Tommy Phelps,L,75,190,0.059,0
Al Shaw,L,68,165,0.281,14
Alex Cobb,R,74,195,0,0
Al Shaw,R,68,170,0.2,1
Jay Hankins,L,67,170,0.184,4
Chuck Locke,R,71,185,0,0
Marc Hill,R,75,205,0.223,34
Moe Drabowsky,R,75,190,0.162,3
Francis Abercrombie,, , ,0,0
Tito Francona,L,71,190,0.272,125
Chris Mears,R,76,190,0,0
Charlie Harding,R,74,172,0,0
Fred Talbot,R,74,195,0.174,4
Phil Slattery,R,71,160,0,0
Al Mattern,L,70,165,0.165,0
Chris Valaika,R,72,215,0.244,2
Buddy Groom,L,74,200,0,0
Dutch Ussat,R,73,170,0.176,0
Colin Ward,L,75,190,0,0
Les Bell,R,71,165,0.29,66
Jim Baskette,R,74,185,0.17,0
Don Wakamatsu,R,74,200,0.226,0
Nick Carter,L,68,140,0.1,0
Will Venable,L,74,210,0.257,67
Clem Labine,R,72,180,0.075,3
Harry Little,, , ,0.133,0
Mike Bynum,L,76,200,0.167,0
Yasuhiko Yabuta,R,74,185,0,0
Chad Bradford,R,77,205,0,0
Doc McJames,, , ,0.162,0
Gil Hatfield,,69,168,0.248,6
George Woodend,R,72,200,0,0
Arturo DeFreitas,R,74,195,0.208,1
Eddie Burke,L,66,161,0.279,30
Denny Riddleberger,R,75,195,0,0
Jim Baxes,R,73,190,0.246,17
Howard Farmer,R,75,185,0.4,0
Rich Thompson,R,75,225,0,0
Sam McConnell,L,73,210,0,0
Bill Renna,R,75,218,0.239,28
Chief Chouneau,R,69,150,0,0
Charlie Flannigan,R,72,175,0,0
Joel McKeon,L,72,185,0,0
Chris Saenz,R,75,200,0,0
Vance McHenry,R,69,165,0.211,0
Jack Allen,R, ,160,0.148,0
Eddie Murphy,L,69,155,0.287,4
Ed Murphy,R,71,190,0.25,0
Ed Murphy,,73,186,0.246,1
Lee DeMontreville,R,67,140,0.243,0
Devern Hansack,R,74,180,0,0
Johnny Lazor,L,69,180,0.263,6
Jerry Byrne,R,72,170,0,0
Les Willis,L,69,195,0.091,0
Ron Necciai,R,77,185,0.059,0
Lefty Williams,R,69,160,0.159,0
Leon Williams,L,70,154,0.2,0
Newt Hunter,R,72,180,0.254,2
Joe Sullivan,L,71,175,0.207,0
Steve Rosenberg,L,72,186,0,0
Danny Fife,R,75,175,0,0
Wally Post,R,73,190,0.266,210
Jim Adduci,L,74,210,0.258,0
Ham Schulte,R,68,158,0.236,1
Emmett O'Neill,R,75,185,0.18,1
Bibb Falk,L,72,175,0.314,69
Dick Errickson,L,73,175,0.162,0
George Cisar,R,72,175,0.207,0
Frank Pearce,, , ,0,0
Ron Taylor,R,73,195,0.103,0
Joaquin Benoit,R,75,220,0,0
Oris Hockett,L,69,182,0.276,13
Jim Tray,,71,180,0.286,0
Herb Perry,R,74,210,0.272,55
Danny Taylor,R,70,190,0.297,44
Bill Lennon,,67,145,0.223,0
George McBride,R,71,170,0.218,7
George Hildebrand,R,68,170,0.22,0
Greg Washburn,R,72,190,0,0
Eddie Rogers,R,72,190,0.207,1
Al Zarilla,L,71,180,0.276,61
Henry Wilson,, , ,0,0
Joe Benz,R,73,196,0.138,0
George Craig,, , ,0,0
Tom Alston,L,77,210,0.244,4
Ed Chandler,R,74,190,0,0
Roman Colon,R,77,245,0,0
Bud Byerly,R,74,185,0.118,0
Babe Phelps,L,74,225,0.31,54
Sam West,L,71,165,0.299,75
Chico Salmon,R,70,160,0.249,31
Hal Mauck,R,71,185,0.148,0
Jorge Julio,R,73,225,0,0
Joe Niekro,R,73,185,0.156,1
Fred Brainard,R,72,176,0.195,1
Jeff Conine,R,73,205,0.285,214
Hal Rice,L,73,195,0.26,19
Mike Pagliarulo,L,73,205,0.241,134
Dick Newsome,R,72,185,0.215,0
Ray Mowe,L,67,160,0.111,0
Mark Kiger,R,71,180,0,0
Andy Etchebarren,R,73,190,0.235,49
Fred Osborne,L, , ,0.238,1
Sam White,L,72,185,0,0
Jeff Moronko,R,74,190,0.133,0
Hank Webb,R,75,175,0.2,0
Sonny Ruberto,R,71,175,0.125,0
Gene Schott,R,74,185,0.211,1
Frank Withrow,R,71,187,0.203,0
Frank Skaff,R,70,185,0.32,1
Yan Gomes,R,74,215,0.271,15
Vern Bickford,R,72,180,0.156,0
Tommy Raub,R,70,155,0.253,0
Bill Anderson,R,73,165,0,0
Jim Bottomley,L,72,180,0.31,219
Ken Berry,R,72,175,0.255,58
Dave Concepcion,R,74,155,0.267,101
Jeff Ransom,R,71,185,0.19,1
Troy Tulowitzki,R,75,215,0.295,155
John Purdin,R,74,185,0.25,0
Dan Norman,R,74,195,0.227,11
Tony McKnight,L,77,205,0,0
Joe Quest,R,66,150,0.217,1
Brad Nelson,L,74,260,0.071,0
Jeriome Robertson,L,73,190,0.154,0
Bry Nelson,B,70,205,0.265,0
Mike Gulan,R,73,192,0,0
Chet Laabs,R,68,175,0.262,117
Brian Raabe,R,69,170,0.207,0
John Rainey,L,70,164,0.25,1
Pete Naktenis,L,73,185,0.2,0
Everett Stull,R,75,200,0.083,0
Al Blanche,R,72,178,0.2,0
Junior Moore,R,71,185,0.264,7
Mickey Rocco,L,71,188,0.258,30
Hector Sanchez,B,71,235,0.267,6
Kal Daniels,L,71,195,0.285,104
Don Demola,R,74,185,0,0
Tom Baker,R,73,180,0.31,0
Dan Straily,R,74,215,0,0
Tom Baker,L,72,195,0,0
Jerry Tabb,L,74,195,0.226,6
John Costello,R,73,190,0,0
Elmer Leifer,L,69,170,0.3,0
Adam Loewen,L,78,235,0.176,1
Sang-Hoon Lee,L,73,190,0,0
Pea Ridge Day,R,72,190,0.171,0
Warren Cromartie,L,72,180,0.281,61
Kid Camp,,72,160,0.045,0
David Huff,L,74,215,0,0
Jack Rothfuss,R,71,195,0.313,2
Larry Maxie,R,76,220,0,0
Dave Haas,R,73,200,0,0
Clayton Mortensen,R,76,180,0,0
Buddy Booker,L,70,170,0.182,2
Bruce Billings,R,72,200,0,0
Mike Richardt,R,72,170,0.226,4
Roxie Lawson,R,72,170,0.173,0
Mike Rouse,L,71,200,0.165,0
Cotton Nash,R,78,220,0.188,0
Nick Altrock,B,70,197,0.176,2
Bill Butler,L,74,210,0.051,0
Tim Flood,R,69,160,0.233,3
Bill Butler,, , ,0.226,0
Red Downey,L,71,174,0.256,0
Jim Pastorius,L,69,165,0.152,0
Tim Hosley,R,71,185,0.215,12
Steve Bowling,R,72,185,0.199,1
Tony Taylor,R,69,170,0.261,75
Tommy Taylor,R,68,160,0.26,0
Jim Holloway,R,73,165,1,0
Marv Felderman,R,73,187,0.167,0
Gene Freese,R,71,175,0.254,115
J.B. Shuck,L,71,195,0.29,2
Brent Dlugach,R,76,200,0,0
Jessie Hollins,R,75,190,0,0
Matt Macri,R,74,215,0.324,1
Fred Mann,L,70,178,0.262,12
Dick Wantz,R,77,175,0,0
Tom Drohan,R,70,175,0,0
Wiley Taylor,R,73,175,0.061,0
Chubby Snyder,, , ,0,0
Rod Barajas,R,73,245,0.235,136
Mitch Stetter,L,76,210,0,0
Len Gilmore,R,75,175,0,0
Steve Filipowicz,R,68,195,0.223,2
Paul Fittery,R,68,156,0.077,0
Chris Brown,R,72,185,0.269,38
William Suero,R,69,175,0.233,0
Ralph Works,L,74,185,0.16,0
Whitey Hilcher,R,72,174,0.095,0
Dave Wickersham,R,75,188,0.086,0
Cliff Brantley,R,74,190,0.136,0
Reggie Baldwin,R,73,195,0.241,1
Jose Quintana,R,72,215,0,0
Duffy Lewis,R,70,165,0.284,38
Al Bumbry,L,68,170,0.281,54
Charlie Hall,,70,158,0.083,0
Charley Hall,L,73,187,0.197,2
Gary Hargis,R,71,165,0,0
Tommy Sewell,L,67,155,0,0
Felix Martinez,B,72,170,0.214,3
Matt Thornton,L,78,235,0,0
Charlie Irwin,L,70,160,0.267,16
Kevin Blankenship,R,72,180,0,0
Cole Liniak,R,73,181,0.219,0
Al Downing,R,71,175,0.127,2
Mike Mattimore,L,68,160,0.204,1
Alexi Amarista,L,68,150,0.232,10
Pop Corkhill,L,70,180,0.254,31
Bob Didier,B,72,190,0.229,0
Jim Greengrass,R,73,200,0.269,69
Jim Green,, , ,0.139,0
Dick Cole,R,74,175,0.249,2
Kettle Wirts,R,71,170,0.163,1
Evan Meek,R,72,225,1,0
Ron Piche,R,71,165,0.024,0
Bill Doran,L,71,175,0.5,0
Bill Doran,B,71,175,0.266,84
Andrew Carignan,R,71,205,0,0
Sean Kazmar,R,69,160,0.205,0
Brian Bruney,R,75,235,0,0
Jake Gibbs,L,72,180,0.233,25
Billy Urbanski,R,68,165,0.26,19
Wes Kingdon,R,68,148,0.324,0
Matt Reynolds,L,77,240,0,0
Blaine Boyer,R,75,215,0,0
Jeff Clement,L,73,225,0.218,14
Johnny Ward,, , ,0,0
Juan Morillo,R,73,190,0,0
Glen Stewart,R,72,175,0.213,2
Dave Foutz,R,74,161,0.276,31
Frank Cimorelli,R,72,175,0,0
Garry Hancock,L,72,175,0.247,12
Edgard Clemente,R,71,188,0.249,8
Ed Clements,, , ,0,0
Floyd Ritter,R,68,155,0,0
Doc Ralston,R,72,185,0.205,0
Felipe Lira,R,72,170,0.211,2
Van Mungo,R,74,185,0.221,0
Phil Todt,L,72,175,0.258,57
Tony Pierce,R,73,190,0,0
Ed Chaplin,L,67,158,0.184,0
David Hernandez,R,74,230,0.25,0
Al Pilarcik,L,70,180,0.256,22
Fred Dunlap,R,68,165,0.292,41
Maikel Cleto,R,75,235,0,0
Gus Dugas,L,69,165,0.206,3
Bob Smith,L,72,185,0.08,0
Marius Russo,R,73,190,0.213,0
Lefty Russell,L,73,165,0.25,0
Ed Kranepool,L,75,205,0.261,118
Ray Rolling,R,70,160,0.2,0
Nyls Nyman,L,72,170,0.238,2
Dad Lytle,R,71,160,0.136,0
Monty Swartz,R,71,182,0.5,0
Hugh Canavan,L,68,160,0.095,0
Rick Rhoden,R,75,195,0.238,9
Kevin Tolar,R,75,225,0,0
John O'Neil,R,69,155,0.266,0
John O'Neill,, , ,0,0
Jim Gleeson,B,73,191,0.263,16
Dummy Leitner,L,67,120,0.133,0
Bill Sweeney,R,71,175,0.272,11
Bill Sweeney,R,71,180,0.286,5
Chet Morgan,L,69,160,0.277,0
Jerry Standaert,R,70,168,0.318,0
Brad Havens,L,73,180,0,0
Bill Meehan,R,69,155,1,0
Bernie Walter,R,73,175,0,0
Tony Eusebio,R,74,180,0.275,30
Ed Gerner,L,68,175,0.167,0
Denny McLain,R,73,185,0.133,1
Dave Callahan,L,70,165,0.2,0
Steve Phoenix,R,74,175,0,0
Irv Higginbotham,R,73,196,0.176,0
Lonnie Smith,R,69,170,0.288,98
Justin Wilson,L,74,220,0,0
Nick Evans,R,74,220,0.256,8
Bill Hands,R,74,185,0.078,0
Frank Shellenback,R,74,192,0.123,0
Terry Burrows,L,73,185,0,0
Michael Tejera,L,70,195,0.154,1
Fautino De Los Santos,R,74,225,0,0
John Taber,R,68, ,0,0
Charlie Graham,R,71,180,0.233,1
Wiley Dunham,,73,180,0.083,0
Brad Fullmer,L,73,185,0.279,114
George Zeber,B,71,170,0.296,3
Ian Snell,R,71,200,0.094,0
Chuck Hiller,L,71,170,0.243,20
Tommy Beals,R,65,144,0.243,0
Dave Coleman,R,75,195,0,0
Jesse English,L,75,220,0,0
Eddie Hickey,, , ,0.162,0
Eddie Vargas,R,76,205,0.256,0
Jorge Orta,L,70,170,0.278,130
Dave Cash,R,71,170,0.283,21
Evan Crawford,R,74,190,0,0
Kyle Waldrop,R,77,215,0,0
Francis Beltran,R,78,255,0.25,0
Kevin Millwood,R,76,230,0.121,4
Claud Derrick,R,72,175,0.242,1
Allan Travers,R,73,180,0,0
Billy Hamilton,B,72,160,0.368,0
Atlee Hammaker,B,75,200,0.118,0
Kyle Phillips,L,73,225,0.191,2
John Munce,,68,160,0.19,0
Ed Gagnier,R,69,170,0.195,0
Wade Lefler,L,71,162,0.556,0
Al Raffo,R,77,210,0.167,0
Scott Strickland,R,71,225,0,0
Justin Duchscherer,R,75,200,0,0
Bucky Dent,R,69,170,0.247,40
Rip Williams,R,71,187,0.265,2
Fred Lamline,R,71,171,0.125,0
Dan Adams,R,71,165,0.145,1
David Adams,R,73,205,0.193,2
Fritz Maisel,R,67,170,0.242,6
Rollie Zeider,R,70,162,0.24,5
Andy Beene,R,75,205,0,0
Orlie Weaver,R,72,180,0.113,0
Kitty Bransfield,R,71,207,0.27,13
Johnny Burnett,L,71,175,0.284,9
Roger Samuels,L,77,210,0,0
Bob Murphy,,72,173,0.169,1
Angelo Encarnacion,R,68,180,0.253,3
Elmer Knetzer,R,70,180,0.109,0
Travis Harper,L,76,190,0,0
Ike Powers,R,72,188,0.4,0
Henry Sosa,R,73,205,0.067,0
Jed Hansen,R,73,195,0.256,4
Ed Householder,,69,180,0.209,0
Danny Sheaffer,R,72,185,0.232,13
Ron Cash,R,72,180,0.297,0
Wally Hebert,L,73,195,0.27,0
Marty Decker,R,71,168,0,0
Buster Adams,R,72,180,0.266,50
Tom Sullivan,,70,165,0.117,0
Bruce Robbins,L,73,190,0,0
Hardy Peterson,R,72,205,0.273,3
Tony Gonzalez,L,69,170,0.286,103
Leon Hooten,R,71,180,0,0
Wayne Housie,B,69,165,0.208,0
Daric Barton,L,72,215,0.25,30
Buck Jordan,L,72,170,0.299,17
Joe Christopher,R,70,175,0.26,29
Derrin Ebert,R,75,200,0,0
Larry Haney,R,74,195,0.215,12
Art Griggs,R,71,185,0.277,5
Frank Donnelly,,66,180,0.444,0
Tony Walker,R,74,205,0.222,2
Tom Walker,R,71,170,0.129,0
Joe Holden,L,68,175,0.083,0
Bob Hooper,R,71,195,0.166,4
Bill Kerksieck,R,73,183,0.083,0
Henry Adkinson,, , ,0.4,0
Earl Robinson,R,73,190,0.268,12
Billy Conigliaro,R,72,180,0.256,40
Paul Meloan,R,70,175,0.253,3
Monte Irvin,R,73,195,0.293,99
Scott Munninghoff,R,72,175,1,0
Erv Brame,L,74,190,0.306,8
Bobby Durnbaugh,R,68,170,0,0
Gary Roenicke,R,75,205,0.247,121
Bernard Gilkey,R,72,170,0.275,118
Ken Sears,L,73,200,0.282,2
Bill Davidson,R,70,170,0.235,1
Don Lock,R,74,195,0.238,122
Bobby Scales,B,72,185,0.248,3
Billy Cowan,R,72,170,0.236,40
Billy Smith,B,74,185,0.23,17
Bill Lamar,L,73,185,0.31,19
Frank Whitney,R,67,152,0.237,0
Bill Currie,R,72,175,0,0
Bill Smith,L,72,190,0.143,0
Al Van Camp,R,71,175,0.261,0
Robby Thompson,R,71,165,0.257,119
Ron Slocum,R,74,185,0.15,2
Clyde King,B,73,175,0.114,0
Chris Coghlan,L,72,205,0.27,21
Dave Pember,R,77,225,0,0
Phil Douglas,R,75,190,0.161,2
Loyd Christopher,R,74,190,0.243,0
Minnie Minoso,R,70,175,0.298,186
Luis Lopez,R,73,190,0.205,0
Luis Lopez,B,71,175,0.241,22
Luis Lopez,R,72,205,0.228,3
R.C. Stevens,R,77,219,0.21,8
Frank Seward,R,75,200,0.071,0
Aaron Taylor,R,79,230,0,0
Alexei Ramirez,R,74,170,0.277,84
Alex Ramirez,R,71,180,0.259,12
Allan Ramirez,R,70,180,0,0
Dickie Thon,R,71,160,0.264,71
Bob Cone,R,74,172,0,0
Woody Upchurch,R,72,180,0.214,0
Charlie Bishop,R,74,195,0.11,0
Tony Perez,R,74,175,0.279,379
Bugs Raymond,R,70,180,0.16,0
Dick Burns,L,67,140,0.267,4
Jake Knowdell,,67,148,0.179,0
Spud Chandler,R,72,181,0.201,9
Johnson Fry,R,73,150,1,0
Harley Payne,B,72,160,0.23,0
Jeremy Horst,L,75,220,1,0
Harry Malmberg,R,73,170,0.216,0
Kila Ka'aihue,L,76,235,0.221,15
Chuck Schilling,R,70,160,0.239,23
Bill Hogg,R,72,200,0.116,1
Joe Inglett,L,69,175,0.283,6
Chin-hui Tsao,R,74,170,0.154,0
Frank Houseman,, , ,0.25,0
Lou Manske,L,72, ,0,0
Mike Dejan,L,73,185,0.188,0
Fred House,R,75,190,0,0
Bill Rollinson,, , ,0,0
Brian Kingman,R,74,200,0,0
Pete Craig,L,77,220,0.667,0
Joe Frazier,L,72,180,0.241,10
Dave Hansen,L,72,180,0.26,35
Fred Gaiser,, , ,0,0
Diory Hernandez,R,72,185,0.157,3
Hal McRae,R,71,180,0.29,191
J.R. House,R,72,215,0.167,3
Clayton Andrews,R,72,175,0,0
Phil Mudrock,R,73,190,0,0
Eric Tipton,R,71,190,0.27,22
Greg Burke,R,76,215,0,0
Cameron Rupp,R,73,240,0.308,0
German Rivera,R,74,195,0.257,2
Paul Rigdon,R,77,210,0.194,1
Carl Yowell,L,76,180,0.158,0
Milt Hill,R,72,180,0,0
Matt Mieske,R,72,185,0.262,56
Ed Smith,R,71,170,0.204,0
Kelvin Moore,R,73,195,0.223,8
Edgar (EE) Smith,R,70,160,0.184,0
Bill Schwartz,R,73,195,0.236,1
Harry Thompson,L,68,150,0.211,0
Purnal Goldy,R,77,200,0.231,3
Bill Eagan,, , ,0.236,4
Dave Roberts,R,75,215,0.239,49
Lefty Wolf,R,70,163,0.25,0
Alex Hooks,L,73,183,0.227,0
Jerry Owens,L,75,195,0.262,1
Jimmy Bloodworth,R,71,180,0.248,62
Jerome Walton,R,73,175,0.269,25
Mike Konnick,R,69,180,0.25,0
Ernie Nevel,R,71,190,0,0
Sam Langford,L,72,180,0.275,5
Rick Ferrell,R,70,160,0.281,28
Dave Cripe,R,72,180,0.154,0
Paul Burris,R,72,190,0.219,2
Warren Hacker,R,73,185,0.195,0
Bryan LaHair,L,77,240,0.26,21
Abe Alvarez,L,74,190,0,0
Parson Nicholson,,69,148,0.262,5
Dave Roberts,L,72,172,0.196,2
Brian Bevil,R,75,190,0,0
Clem Hausmann,R,69,165,0.091,0
Eddie Palmer,R,69,175,0.212,0
Charlie Ahearn,, , ,0.25,0
Ted Lewis,R,70,158,0.223,0
Randy Elliott,R,74,190,0.215,8
Jack Tobin,L,68,142,0.309,64
Frank Francisco,R,74,250,0,0
Camilo Pascual,R,71,170,0.205,5
Art Hagan,, , ,0.127,0
Marty Cordova,R,72,200,0.274,122
Doc Cook,L,72,170,0.274,3
Brian Allard,R,73,175,0,0
Bill Schlesinger,R,74,175,0,0
Ray Cunningham,R,67,150,0.154,0
Jim Lefebvre,B,72,180,0.251,74
Kurt Suzuki,R,71,210,0.253,67
Takahito Nomura,L,67,175,0,0
Roscoe Coughlin,,70,160,0.21,0
Ross Baumgarten,L,73,180,0.083,0
Mike Dupree,R,73,185,1,0
Rip Sewell,L,73,180,0.203,6
Felix Heredia,L,72,180,0.267,0
Fernando Arroyo,R,74,180,0,0
Brian Barton,R,75,190,0.268,2
Gary Beare,R,76,205,0,0
Larry Doyle,L,70,165,0.29,74
Tim Bogar,R,74,198,0.228,24
Leon Brinkopf,R,71,185,0.182,0
Don Kirkwood,R,75,175,0,0
Pete Falcone,L,74,185,0.149,1
Bud Sketchley,L,70,180,0.194,0
Charley Lau,L,72,190,0.255,16
Greg Cadaret,L,75,200,0,0
Jimmy Sexton,R,70,175,0.218,5
Ollie Welf,R,69,160,0,0
Hal Manders,R,72,187,0.167,0
Wayne Osborne,L,74,172,0.25,0
Charlie Spikes,R,75,215,0.246,65
Bob Lindemann,B,72,175,0.111,0
Tom Raftery,R,70,175,0.219,0
Hank Simon,R,66,155,0.267,2
Bud Norris,R,72,225,0.147,0
Brian Dubois,L,70,165,0,0
Karl Adams,R,74,170,0.031,0
Mike Neill,R,74,190,0.267,0
Freddy Leach,L,71,183,0.307,72
Napoleon Calzado,R,75,201,0.2,0
Joe Delahanty,R,69,168,0.238,4
Dolan Nichols,R,72,195,0,0
Herb Kelly,L,69,160,0.273,0
Jim Barbieri,L,67,155,0.28,0
David Bush,R,74,205,0.129,0
Joe Girardi,R,71,195,0.267,36
Jimmy Ryan,R,69,162,0.306,118
Red Booles,L,70,150,0.167,0
Dick Smith,R,74,205,0.218,0
Cory Burns,R,72,205,0,0
Shawn Kelley,R,74,215,0,0
Jim Driscoll,L,71,175,0.143,1
Bobby Bonilla,B,75,210,0.279,287
Bill Spiers,L,74,190,0.271,37
Steve Whitaker,L,72,180,0.23,24
Jeff Fulchino,R,77,285,0.25,0
Hal McKain,L,71,185,0.23,0
Bobby Coombs,R,69,160,0.286,0
Sammy Esposito,R,69,165,0.207,8
Manny Jimenez,L,73,185,0.272,26
Sam Brown,R, , ,0.2,0
Jimmy Wolf,R,69,190,0.29,18
Uel Eubanks,R,75,175,1,0
Jose Pagan,R,69,160,0.25,52
Jim Breazeale,L,74,210,0.223,9
Archi Cianfrocco,R,77,200,0.241,34
Erv Dusak,R,74,185,0.243,24
Chris Batton,R,76,195,0,0
Paxton Crawford,R,75,205,0,0
Pat Crawford,L,71,170,0.28,9
Gabby Hartnett,R,73,195,0.297,236
Munenori Kawasaki,L,70,165,0.218,1
Bill Casey,, , ,0,0
Steve Andrade,R,73,220,0,0
Bob Stoddard,R,73,190,0,0
Howard Fahey,R,67,145,0,0
Jorge Comellas,R,72,190,0,0
Dutch Wetzel,R,69,177,0.243,2
Benny McCoy,L,69,170,0.269,16
Earle Brucker,R,71,175,0.29,12
Jose Rosado,L,72,175,0.111,0
Tony Abreu,B,69,200,0.256,6
Sam Mele,R,73,183,0.267,80
Johnny Rigney,R,74,190,0.177,0
Dom Zanni,R,71,180,0.28,0
Clyde Barnhart,R,70,155,0.295,27
Rick Aguilera,R,76,195,0.201,3
Henry Bostick,R, , ,0,0
Jerry Dipoto,R,74,203,0.045,0
Jimmy Ripple,L,70,170,0.282,28
Duffy Dyer,R,72,187,0.221,30
Andy Carter,L,77,200,0.143,0
Scott Taylor,R,75,200,0,0
Dick Robertson,R,69,160,0.225,0
Eddie Bane,R,69,160,0,0
Stan Swanson,R,71,168,0.245,2
Gus Keriazakos,R,75,187,0.105,0
Gary Taylor,R,74,190,0,0
Wally Burnette,R,72,178,0.143,0
Boone Logan,R,77,215,0,0
Joe McDonald,R,71,175,0.156,0
Dioner Navarro,B,69,205,0.251,54
John Misse,R,68,150,0.196,0
Alex Sabo,R,72,192,0.375,0
Lee Richard,R,71,165,0.209,2
Mike Simon,R,71,188,0.225,1
 McCloskey,, , ,0.175,0
Ed Watkins,, , ,0,0
Mark Parent,R,77,215,0.214,53
Mike Zunino,R,74,220,0.214,5
Ken Henderson,B,74,180,0.257,122
Bill Whaley,R,71,178,0.24,0
Joe Sullivan,,70,178,0.299,11
Molly Craft,R,74,165,0.115,0
John Sullivan,R,70,170,0.152,0
Jack Armstrong,R,77,220,0.114,0
John Sullivan,R,71,180,0.309,5
John Sullivan,L,72,195,0.228,2
George Ferguson,R,70,165,0.188,1
Matt Skrmetta,B,75,220,0,0
Dan Gonzales,L,73,195,0.2,0
Ernie Bowman,R,70,160,0.19,1
Yank Terry,R,73,180,0.145,0
Ken Szotkiewicz,L,72,165,0.107,3
Rafael Novoa,L,72,180,0.2,0
Troy Mattes,R,79,230,0.467,0
Howard Armstrong,R,69,165,0,0
Moose Clabaugh,L,72,185,0.071,0
Coot Veal,R,73,165,0.231,1
Ricky Jordan,R,77,210,0.281,55
Ricardo Jordan,L,72,175,0,0
Rip Jordan,L,72,172,0,0
Andy Rush,R,75,180,0,0
